QOL_Key,Country,Date,Maternal_Leave_Benefits,Access_To_Basic_Drinking_Water_Total,Access_To_Basic_Drinking_Water_Urban,Access_To_Basic_Sanitation_Total,Access_To_Basic_Sanitation_Urban,Access_To_Managed_Drinking_Water_Total,Access_To_Managed_Sanitation_Total,Access_To_Basic_Handwashing_Facilities_Total,Access_To_Basic_Handwashing_Facilities_Urban,Unemployment_Female,Unemployment_Male,Unemployment_Total
0,Bolivia,1960,,,,,,,,,,,,
1,Bolivia,1961,,,,,,,,,,,,
2,Bolivia,1962,,,,,,,,,,,,
3,Bolivia,1963,,,,,,,,,,,,
4,Bolivia,1964,,,,,,,,,,,,
5,Bolivia,1965,,,,,,,,,,,,
6,Bolivia,1966,,,,,,,,,,,,
7,Bolivia,1967,,,,,,,,,,,,
8,Bolivia,1968,,,,,,,,,,,,
9,Bolivia,1969,,,,,,,,,,,,
10,Bolivia,1970,,,,,,,,,,,,
11,Bolivia,1971,,,,,,,,,,,,
12,Bolivia,1972,,,,,,,,,,,,
13,Bolivia,1973,,,,,,,,,,,,
14,Bolivia,1974,,,,,,,,,,,,
15,Bolivia,1975,,,,,,,,,,,,
16,Bolivia,1976,,,,,,,,,,,,
17,Bolivia,1977,,,,,,,,,,,,
18,Bolivia,1978,,,,,,,,,,,,
19,Bolivia,1979,,,,,,,,,,,,
20,Bolivia,1980,,,,,,,,,,,,
21,Bolivia,1981,,,,,,,,,,,,
22,Bolivia,1982,,,,,,,,,,,,
23,Bolivia,1983,,,,,,,,,,,,
24,Bolivia,1984,,,,,,,,,,,,
25,Bolivia,1985,,,,,,,,,,,,
26,Bolivia,1986,,,,,,,,,,,,
27,Bolivia,1987,,,,,,,,,,,,
28,Bolivia,1988,,,,,,,,,,,,
29,Bolivia,1989,,,,,,,,,,,,
30,Bolivia,1990,,,,,,,,,,,,
31,Bolivia,1991,,,,,,,,,,2.80599999427795,3.06299996376038,2.95700001716614
32,Bolivia,1992,,,,,,,,,,3.01500010490417,3.43300008773804,3.25999999046326
33,Bolivia,1993,,,,,,,,,,2.85999989509583,3.24200010299683,3.08400011062622
34,Bolivia,1994,,,,,,,,,,2.83500003814697,3.25500011444092,3.07999992370605
35,Bolivia,1995,,,,,,,,,,2.57299995422363,2.88199996948242,2.75300002098084
36,Bolivia,1996,,,,,,,,,,2.32399988174438,2.52900004386902,2.44300007820129
37,Bolivia,1997,,,,,,,,,,2.03399991989136,2.11400008201599,2.07999992370605
38,Bolivia,1998,,,,,,,,,,2.15899991989136,2.10800004005432,2.12899994850159
39,Bolivia,1999,,,,,,,,,,2.51200008392334,2.39299988746643,2.44300007820129
40,Bolivia,2000,,79.98631039,95.38261311,34.85301548,47.73882879,,27.98748229,,,2.54500007629395,2.25600004196167,2.37800002098084
41,Bolivia,2001,,80.77731881,95.56971904,35.99628542,48.60104708,,28.91301607,,,2.7279999256134,2.30699992179871,2.48499989509583
42,Bolivia,2002,,81.54188419,95.75683254,37.12270953,49.46326538,,29.82490728,,,2.8199999332428,2.25099992752075,2.49399995803833
43,Bolivia,2003,,82.2924509,95.94395361,38.24250317,50.32548367,,30.73120179,,,2.94400000572205,2.23200011253357,2.53699994087219
44,Bolivia,2004,,83.03298988,96.13108226,39.35902795,51.18770196,,31.63453919,,,2.98799991607666,2.13599991798401,2.50300002098084
45,Bolivia,2005,,83.76284924,96.31821847,40.4716573,52.04992026,,32.53443214,,,3.1029999256134,2.11500000953674,2.54399991035461
46,Bolivia,2006,,84.48315277,96.50536226,41.5813814,52.91213855,,33.43165522,,,3.20799994468689,2.08500003814697,2.57599997520447
47,Bolivia,2007,,85.1929341,96.69251362,43.17945511,54.36738983,,34.72125995,,,3.37100005149841,2.10199999809265,2.64599990844727
48,Bolivia,2008,,85.89324953,96.87967255,44.80062579,55.84165849,,36.02920376,,,3.38599991798401,2.00099992752075,2.59999990463257
49,Bolivia,2009,100.0,86.58319782,97.06683906,46.44376636,57.33494455,,37.35459872,,,3.62199997901917,2.46799993515015,2.97000002861023
50,Bolivia,2010,,87.26318343,97.25401313,48.10902933,58.84724799,,38.6975507,26.67097403,29.08491562,3.15700006484985,2.20099997520447,2.61400008201599
51,Bolivia,2011,100.0,87.93356681,97.44119478,49.7965629,60.37856882,,40.05816061,26.70289996,29.08491562,2.68300008773804,1.92200005054474,2.25
52,Bolivia,2012,,88.59412659,97.628384,51.50589073,61.92890703,,41.43604754,26.73461087,29.08491562,2.83500003814697,1.51400005817413,2.0699999332428
53,Bolivia,2013,100.0,89.23058742,97.81558079,53.21966433,63.49826263,,42.81789635,26.7622233,29.08491562,3.03299999237061,2.00200009346008,2.44000005722046
54,Bolivia,2014,,89.85011389,98.00278515,54.94452469,65.08663562,,44.20886732,26.7872485,29.08491562,2.87800002098084,1.37300002574921,2.01999998092651
55,Bolivia,2015,100.0,90.46214101,98.18999708,56.69117865,66.694026,,45.61717777,26.81212733,29.08491562,3.8050000667572,2.63000011444092,3.10999989509583
56,Bolivia,2016,,91.06696927,98.37721658,58.45982722,68.32043377,,47.04296958,26.83693636,29.08491562,4.04300022125244,3.09999990463257,3.5
57,Bolivia,2017,100.0,91.66415923,98.56444366,60.24970578,69.96585892,,48.48564858,26.86152814,29.08491562,4.05299997329712,3.34299993515015,3.65000009536743
58,Bolivia,2018,,92.25507792,98.75167831,62.06257966,71.63030146,,49.94654184,26.8863367,29.08491562,3.61500000953674,3.44400000572205,3.51999998092651
59,Bolivia,2019,,92.82597527,98.93689831,63.89830649,73.31376139,,51.4255202,26.91136135,29.08491562,4.39599990844727,3.38299989700317,3.8199999332428
60,Burundi,1960,,,,,,,,,,,,
61,Burundi,1961,,,,,,,,,,,,
62,Burundi,1962,,,,,,,,,,,,
63,Burundi,1963,,,,,,,,,,,,
64,Burundi,1964,,,,,,,,,,,,
65,Burundi,1965,,,,,,,,,,,,
66,Burundi,1966,,,,,,,,,,,,
67,Burundi,1967,,,,,,,,,,,,
68,Burundi,1968,,,,,,,,,,,,
69,Burundi,1969,,,,,,,,,,,,
70,Burundi,1970,,,,,,,,,,,,
71,Burundi,1971,,,,,,,,,,,,
72,Burundi,1972,,,,,,,,,,,,
73,Burundi,1973,,,,,,,,,,,,
74,Burundi,1974,,,,,,,,,,,,
75,Burundi,1975,,,,,,,,,,,,
76,Burundi,1976,,,,,,,,,,,,
77,Burundi,1977,,,,,,,,,,,,
78,Burundi,1978,,,,,,,,,,,,
79,Burundi,1979,,,,,,,,,,,,
80,Burundi,1980,,,,,,,,,,,,
81,Burundi,1981,,,,,,,,,,,,
82,Burundi,1982,,,,,,,,,,,,
83,Burundi,1983,,,,,,,,,,,,
84,Burundi,1984,,,,,,,,,,,,
85,Burundi,1985,,,,,,,,,,,,
86,Burundi,1986,,,,,,,,,,,,
87,Burundi,1987,,,,,,,,,,,,
88,Burundi,1988,,,,,,,,,,,,
89,Burundi,1989,,,,,,,,,,,,
90,Burundi,1990,,,,,,,,,,,,
91,Burundi,1991,,,,,,,,,,1.2849999666214,1.75999999046326,1.51199996471405
92,Burundi,1992,,,,,,,,,,1.28900003433228,1.79799997806549,1.53100001811981
93,Burundi,1993,,,,,,,,,,1.30099999904633,1.85099995136261,1.56200003623962
94,Burundi,1994,,,,,,,,,,1.28900003433228,1.86300003528595,1.55999994277954
95,Burundi,1995,,,,,,,,,,1.29200005531311,1.90400004386902,1.5809999704361
96,Burundi,1996,,,,,,,,,,1.28400003910065,1.92599999904633,1.58800005912781
97,Burundi,1997,,,,,,,,,,1.2610000371933,1.91799998283386,1.57200002670288
98,Burundi,1998,,,,,,,,,,1.23699998855591,1.91100001335144,1.557000041008
99,Burundi,1999,,,,,,,,,,1.24100005626678,1.96000003814697,1.58399999141693
100,Burundi,2000,,50.66311688,82.0481219,45.21474211,40.55777656,,,,,1.23199999332428,1.98199999332428,1.5900000333786
101,Burundi,2001,,51.23447644,82.5061397,45.42356032,41.25284903,,,,,1.21599996089935,1.99100005626678,1.58700001239777
102,Burundi,2002,,51.80933223,82.96368176,45.63436584,41.94792149,,,,,1.20099997520447,2.00399994850159,1.58599996566772
103,Burundi,2003,,52.38732666,83.4207481,45.84729278,42.64299396,,,,,1.2039999961853,2.05599999427795,1.61300003528595
104,Burundi,2004,,52.96843345,83.87733872,45.86863535,42.70736894,,,5.874839741,24.44170866,1.18099999427795,2.05200004577637,1.59899997711182
105,Burundi,2005,,53.55262931,84.33345361,45.88705604,42.75151318,,,5.923064805,24.44170866,1.17900002002716,2.09699988365173,1.62000000476837
106,Burundi,2006,,54.14023166,84.78909277,45.9023902,42.77542669,,,5.972516221,24.44170866,1.15900003910065,2.1010000705719,1.61199998855591
107,Burundi,2007,,54.7308721,85.24425621,45.91453178,42.77910947,,,6.02298909,24.44170866,1.15299999713898,2.13700008392334,1.62699997425079
108,Burundi,2008,,55.32519947,85.69894392,45.92326435,42.76256151,,,6.074892354,24.44170866,1.13900005817413,2.15799999237061,1.62999999523163
109,Burundi,2009,100.0,55.92217472,86.15315591,45.92854494,42.72578282,,,6.087436782,23.98248033,1.14300000667572,2.13899993896484,1.62300002574921
110,Burundi,2010,,56.52311691,86.60689217,45.93007051,42.66877339,,,6.099128521,23.523252,1.14199995994568,2.10800004005432,1.60800004005432
111,Burundi,2011,100.0,57.12766023,87.0601527,45.92771181,42.59153323,,,6.109665173,23.06402367,1.14600002765656,2.08999991416931,1.60199999809265
112,Burundi,2012,,57.73543332,87.51293751,45.92132836,42.49406233,,,6.118762666,22.60479534,1.14699995517731,2.06500005722046,1.5900000333786
113,Burundi,2013,100.0,58.34740313,87.9652466,45.91061519,42.3763607,,,6.12687961,22.14556701,1.14800000190735,2.03900003433228,1.57799994945526
114,Burundi,2014,,58.96254221,88.41707995,45.89550768,42.23842833,,,6.133361608,21.68633868,1.15199995040894,2.01900005340576,1.57000005245209
115,Burundi,2015,100.0,59.58146925,88.86843759,45.87571182,42.08026523,,,6.138466723,21.22711035,1.18499994277954,2.04399991035461,1.60000002384186
116,Burundi,2016,,60.20415097,89.31931949,45.85101814,41.90187139,,,6.142083348,20.76788202,1.192999958992,2.01600003242493,1.5900000333786
117,Burundi,2017,100.0,60.83054996,89.76972568,45.82120595,41.70324682,,,6.144099344,20.30865369,1.2059999704361,1.99800002574921,1.58899998664856
118,Burundi,2018,,61.46062113,90.21965613,45.78603939,41.48439152,,,6.144402361,19.84942535,1.21800005435944,1.98099994659424,1.58700001239777
119,Burundi,2019,,62.09432063,90.66911086,45.74527589,41.24530548,,,6.142880037,19.39019702,1.23300004005432,1.96899998188019,1.58899998664856
120,Canada,1960,,,,,,,,,,,,
121,Canada,1961,,,,,,,,,,,,
122,Canada,1962,,,,,,,,,,,,
123,Canada,1963,,,,,,,,,,,,
124,Canada,1964,,,,,,,,,,,,
125,Canada,1965,,,,,,,,,,,,
126,Canada,1966,,,,,,,,,,,,
127,Canada,1967,,,,,,,,,,,,
128,Canada,1968,,,,,,,,,,,,
129,Canada,1969,,,,,,,,,,,,
130,Canada,1970,,,,,,,,,,,,
131,Canada,1971,,,,,,,,,,,,
132,Canada,1972,,,,,,,,,,,,
133,Canada,1973,,,,,,,,,,,,
134,Canada,1974,,,,,,,,,,,,
135,Canada,1975,,,,,,,,,,,,
136,Canada,1976,,,,,,,,,,,,
137,Canada,1977,,,,,,,,,,,,
138,Canada,1978,,,,,,,,,,,,
139,Canada,1979,,,,,,,,,,,,
140,Canada,1980,,,,,,,,,,,,
141,Canada,1981,,,,,,,,,,,,
142,Canada,1982,,,,,,,,,,,,
143,Canada,1983,,,,,,,,,,,,
144,Canada,1984,,,,,,,,,,,,
145,Canada,1985,,,,,,,,,,,,
146,Canada,1986,,,,,,,,,,,,
147,Canada,1987,,,,,,,,,,,,
148,Canada,1988,,,,,,,,,,,,
149,Canada,1989,,,,,,,,,,,,
150,Canada,1990,,,,,,,,,,,,
151,Canada,1991,,,,,,,,,,9.69400024414063,10.8249998092651,10.3199996948242
152,Canada,1992,,,,,,,,,,10.1949996948242,12.0159997940063,11.1999998092651
153,Canada,1993,,,,,,,,,,10.6809997558594,11.951000213623,11.3800001144409
154,Canada,1994,,,,,,,,,,9.80000019073486,10.8900003433228,10.3999996185303
155,Canada,1995,,,,,,,,,,9.11200046539307,9.80200004577637,9.48999977111816
156,Canada,1996,,,,,,,,,,9.29199981689453,9.89200019836426,9.61999988555908
157,Canada,1997,,,,,,,,,,8.92000007629395,9.25,9.10000038146973
158,Canada,1998,,,,,,,,,,7.99200010299683,8.52200031280518,8.27999973297119
159,Canada,1999,,,,,,,,,,7.28700017929077,7.8270001411438,7.57999992370605
160,Canada,2000,,99.22699196,99.50653212,99.85639131,99.99018799,98.16674099,77.57492526,,,6.69500017166138,6.94500017166138,6.82999992370605
161,Canada,2001,,99.23150801,99.50653212,99.85854953,99.99018799,98.17581078,77.5758104,,,6.85900020599365,7.52899980545044,7.21999979019165
162,Canada,2002,,99.23257361,99.50653212,99.85906123,99.99018799,98.17794617,77.57602197,,,7.11800003051758,8.12800025939941,7.65999984741211
163,Canada,2003,,99.23364664,99.50653212,99.8595732,99.99018799,98.1801028,78.02877775,,,7.15399980545044,7.93300008773804,7.57000017166138
164,Canada,2004,,99.23471533,99.50653212,99.86008794,99.99018799,98.18224134,78.48155771,,,6.85400009155273,7.48400020599365,7.19000005722046
165,Canada,2005,,99.23464422,99.48998183,99.80519484,99.92909847,98.24079534,78.8857635,,,6.46600008010864,7.01700019836426,6.76000022888184
166,Canada,2006,,99.23461957,99.47343153,99.75033789,99.86800895,98.29946776,79.28068911,,,6.09200000762939,6.52199983596802,6.32000017166138
167,Canada,2007,,99.23549716,99.45688123,99.69595411,99.80691943,98.35997369,79.67517216,,,5.65299987792969,6.38399982452393,6.03999996185303
168,Canada,2008,,99.23607708,99.44033093,99.6414571,99.74582992,98.41990954,80.06894984,,,5.65199995040894,6.57200002670288,6.1399998664856
169,Canada,2009,40.0,99.23635504,99.42378064,99.5868457,99.6847404,98.47926264,80.46202275,,,7.00500011444092,9.53299999237061,8.34000015258789
170,Canada,2010,,99.23634886,99.40723034,99.53213067,99.62365088,98.53806358,80.85439848,,,7.24300003051758,8.79399967193604,8.0600004196167
171,Canada,2011,35.0,99.23589396,99.39068004,99.47721571,99.56256136,98.59599042,81.24600912,,,7.00899982452393,7.95900011062622,7.51000022888184
172,Canada,2012,,99.23432608,99.37412975,99.42171918,99.50147184,98.65168006,81.636549,,,6.81699991226196,7.71600008010864,7.28999996185303
173,Canada,2013,37.0,99.23268617,99.35757945,99.36619078,99.44038232,98.70725106,82.02636889,,,6.59700012207031,7.49700021743774,7.07000017166138
174,Canada,2014,,99.23098502,99.34102915,99.31064352,99.3792928,98.76270793,82.41547978,,,6.38899993896484,7.37799978256226,6.90999984741211
175,Canada,2015,55.0,99.22922139,99.32447885,99.25507123,99.31820329,98.81806216,82.80387768,,,6.29199981689453,7.46199989318848,6.90999984741211
176,Canada,2016,,99.22739547,99.30792856,99.19947682,99.25711377,98.87330686,83.1915656,,,6.24100017547607,7.68100023269653,7.0
177,Canada,2017,55.0,99.22553764,99.29137826,99.14388406,99.19602425,98.92850562,83.5785755,,,5.85099983215332,6.7810001373291,6.34000015258789
178,Canada,2018,,99.22363119,99.27482796,99.08828896,99.13493473,98.98362633,83.97367373,,,5.48899984359741,6.13899993896484,5.82999992370605
179,Canada,2019,,99.22164984,99.25827766,99.03268117,99.07384521,99.03861451,84.36813002,,,5.25,6.03000020980835,5.65999984741211
180,Chad,1960,,,,,,,,,,,,
181,Chad,1961,,,,,,,,,,,,
182,Chad,1962,,,,,,,,,,,,
183,Chad,1963,,,,,,,,,,,,
184,Chad,1964,,,,,,,,,,,,
185,Chad,1965,,,,,,,,,,,,
186,Chad,1966,,,,,,,,,,,,
187,Chad,1967,,,,,,,,,,,,
188,Chad,1968,,,,,,,,,,,,
189,Chad,1969,,,,,,,,,,,,
190,Chad,1970,,,,,,,,,,,,
191,Chad,1971,,,,,,,,,,,,
192,Chad,1972,,,,,,,,,,,,
193,Chad,1973,,,,,,,,,,,,
194,Chad,1974,,,,,,,,,,,,
195,Chad,1975,,,,,,,,,,,,
196,Chad,1976,,,,,,,,,,,,
197,Chad,1977,,,,,,,,,,,,
198,Chad,1978,,,,,,,,,,,,
199,Chad,1979,,,,,,,,,,,,
200,Chad,1980,,,,,,,,,,,,
201,Chad,1981,,,,,,,,,,,,
202,Chad,1982,,,,,,,,,,,,
203,Chad,1983,,,,,,,,,,,,
204,Chad,1984,,,,,,,,,,,,
205,Chad,1985,,,,,,,,,,,,
206,Chad,1986,,,,,,,,,,,,
207,Chad,1987,,,,,,,,,,,,
208,Chad,1988,,,,,,,,,,,,
209,Chad,1989,,,,,,,,,,,,
210,Chad,1990,,,,,,,,,,,,
211,Chad,1991,,,,,,,,,,0.296000003814697,0.992999970912933,0.675000011920929
212,Chad,1992,,,,,,,,,,0.287000000476837,1.00100004673004,0.676999986171722
213,Chad,1993,,,,,,,,,,0.284999996423721,1.0440000295639,0.699999988079071
214,Chad,1994,,,,,,,,,,0.294999986886978,1.01900005340576,0.691999971866608
215,Chad,1995,,,,,,,,,,0.316000014543533,1.04700005054474,0.717999994754791
216,Chad,1996,,,,,,,,,,0.333999991416931,1.05900001525879,0.734000027179718
217,Chad,1997,,,,,,,,,,0.351999998092651,1.067999958992,0.748000025749207
218,Chad,1998,,,,,,,,,,0.370000004768372,1.0789999961853,0.763999998569489
219,Chad,1999,,,,,,,,,,0.391000002622604,1.10599994659424,0.788999974727631
220,Chad,2000,,39.52587081,75.0624827,9.863647135,22.58593904,5.642631434,8.60256928,,,0.409999996423721,1.12000000476837,0.806999981403351
221,Chad,2001,,39.8520354,75.10608188,9.900921423,23.12116668,5.642521535,8.625477197,,,0.423000007867813,1.11300003528595,0.810000002384186
222,Chad,2002,,40.17618371,75.14051136,9.938444573,23.65639431,5.641029424,8.646667278,,,0.442999988794327,1.13300001621246,0.830999970436096
